,City,Country,Date,Latitude,Longitude,Humidity,Max Temp,Wind Speed,Cloudiness
58,Porto-Novo,BJ,1584908960,6.5,2.6,88,82.4,8.05,40
59,Hermanus,ZA,1584908960,-34.42,19.23,86,66.99,14.16,67
60,Chara,RU,1584908961,56.91,118.26,72,8.11,0.85,47
61,Port Alfred,ZA,1584908961,-33.59,26.89,94,69.01,11.99,98
62,Dikson,RU,1584908961,73.51,80.55,99,-7.19,9.66,87
63,Chui,UY,1584908961,-33.7,-53.46,52,75.07,9.1,0
64,Vostok,RU,1584908961,46.49,135.88,87,10.45,4.34,0
65,Khanbari,NP,1584908961,27.37,87.2,92,40.33,1.66,100
66,Lugovoy,KZ,1584908961,42.95,72.76,80,42.85,3.47,100
67,Tres Arroyos,AR,1584908961,-38.37,-60.28,24,86.95,8.88,85
68,Itoman,JP,1584908961,26.12,127.67,83,71.6,13.87,40
69,College,US,1584908961,64.86,-147.8,61,21.2,20.8,20
70,Lompoc,US,1584908961,34.64,-120.46,52,68.0,10.29,40
71,Husavik,IS,1584908961,66.04,-17.34,65,41.0,33.33,40
72,Nanortalik,GL,1584908944,60.14,-45.24,72,25.21,39.55,0
73,Atuona,PF,1584908962,-9.8,-139.03,80,82.27,11.61,55
74,Caxias do Sul,BR,1584908962,-29.17,-51.18,63,84.99,7.0,57
75,Beringovskiy,RU,1584908962,63.05,179.32,88,35.47,17.34,100
76,Bluff,NZ,1584908962,-46.6,168.33,90,48.99,3.0,100
77,Nioro,GM,1584908962,13.35,-15.75,21,86.77,10.71,0
78,Bakreswar,IN,1584908962,23.88,87.37,82,68.0,3.36,20
79,Kavieng,PG,1584908962,-2.57,150.8,80,82.45,16.62,100
80,Jamestown,US,1584908791,42.1,-79.24,27,44.01,11.41,1
81,Mareeba,AU,1584908962,-17.0,145.43,78,78.8,10.29,40
82,São João da Barra,BR,1584908962,-21.64,-41.05,74,80.6,9.17,75
83,Atar,MR,1584908962,20.52,-13.05,23,66.43,6.82,0
84,Souillac,MU,1584908962,-20.52,57.52,94,77.0,8.05,75
85,Ponta do Sol,PT,1584908963,32.67,-17.1,67,57.2,25.28,40
86,Kaitangata,NZ,1584908963,-46.28,169.85,80,52.0,17.98,100
87,Pozo Colorado,PY,1584908963,-23.49,-58.8,15,96.85,6.96,0
88,Gorontalo,ID,1584908963,0.54,123.06,90,72.91,3.09,94
89,Deputatsky,RU,1584908963,69.3,139.9,83,-0.17,1.1,100
90,Yerbogachën,RU,1584908963,61.28,108.01,100,35.11,12.84,100
91,Kangāvar,IR,1584908963,34.5,47.97,96,35.11,8.19,100
92,Arraial do Cabo,BR,1584908963,-22.97,-42.03,78,80.6,6.93,75
93,Mossamedes,AO,1584908963,-15.2,12.15,86,72.55,4.7,100
94,Sinnamary,GF,1584908964,5.38,-52.95,77,80.47,13.15,100
95,Saint Petersburg,RU,1584908951,59.89,30.26,62,24.01,2.24,0
96,Provideniya,RU,1584908964,64.38,-173.3,98,32.0,13.42,90
97,Alofi,NU,1584908964,-19.06,-169.92,83,82.4,4.7,75
98,São Filipe,CV,1584908964,14.9,-24.5,81,68.77,21.56,49
99,Saint-Joseph,RE,1584908964,-21.37,55.62,74,78.8,14.99,0
100,Belaya Gora,RU,1584908964,68.53,146.42,81,-9.53,1.45,0
101,Nikolskoye,RU,1584908964,59.7,30.79,62,24.01,2.24,0
102,Airai,TL,1584908964,-8.93,125.41,78,64.09,3.27,59
103,Castro,BR,1584908964,-24.79,-50.01,61,70.03,4.05,0
104,Cayenne,GF,1584908934,4.93,-52.33,66,84.2,12.75,75
105,Hilo,US,1584908965,19.73,-155.09,64,75.2,8.28,90
106,Yellowknife,CA,1584908796,62.46,-114.35,87,32.0,13.87,75
107,Srednekolymsk,RU,1584908965,67.45,153.68,76,4.87,5.66,100
108,Cap Malheureux,MU,1584908965,-19.98,57.61,94,77.0,8.05,75
109,Polovinnoye,RU,1584908965,54.79,65.99,96,21.79,8.37,100
110,Cabo San Lucas,MX,1584908965,22.89,-109.91,44,81.0,6.93,5
111,Bundibugyo,UG,1584908965,0.74,30.04,78,52.03,5.3,100
112,Krompachy,SK,1584908965,48.91,20.88,63,28.99,19.46,20
113,San Patricio,MX,1584908965,19.22,-104.7,79,84.2,11.41,5
114,Bredasdorp,ZA,1584908830,-34.53,20.04,88,64.99,3.36,10
115,Vila Franca do Campo,PT,1584908965,37.72,-25.43,71,57.2,11.41,75
116,Sovetskiy,RU,1584908966,61.36,63.58,90,15.13,5.39,0
117,Tuktoyaktuk,CA,1584908966,69.45,-133.04,77,-0.4,21.92,75
118,Mount Gambier,AU,1584908966,-37.83,140.77,87,48.2,4.12,40
119,Lüderitz,NA,1584908966,-26.65,15.16,68,69.8,21.92,0
120,Saint Paul Harbor,US,1584908966,57.79,-152.41,38,39.2,20.8,1
121,Ouidah,BJ,1584908966,6.36,2.09,88,82.4,8.05,40
122,San Quintín,MX,1584908966,30.48,-115.95,64,62.83,12.12,98
123,Port Elizabeth,ZA,1584908966,-33.92,25.57,88,71.6,8.05,90
124,Esperance,AU,1584908966,-33.87,121.9,100,57.2,6.93,75
125,Mitsamiouli,KM,1584908966,-11.38,43.28,75,83.35,13.69,29
126,Khatanga,RU,1584908966,71.97,102.5,96,-28.25,7.34,18
127,Kudahuvadhoo,MV,1584908966,2.67,72.89,68,84.43,9.33,84
128,Nichinan,JP,1584908967,31.6,131.37,100,55.0,3.0,100
129,Bethel,US,1584908833,41.37,-73.41,28,45.0,7.14,1
130,Florø,NO,1584908967,61.6,5.03,94,41.0,28.86,75
131,Lolodorf,CM,1584908967,3.23,10.73,97,74.17,1.95,0
132,Severo-Kuril'sk,RU,1584908967,50.68,156.12,96,27.19,7.83,59
133,Aksarka,RU,1584908967,66.56,67.8,84,-1.79,6.46,0
134,Broome,US,1584908967,42.25,-75.83,23,45.0,5.82,1
135,Río Blanco,MX,1584908967,18.83,-97.15,35,77.23,6.15,0
136,Tsumeb,NA,1584908967,-19.23,17.72,71,70.21,8.28,20
137,Tena,EC,1584908967,-0.98,-77.82,58,89.6,3.36,75
138,Alexandria,EG,1584908968,31.22,29.96,59,60.8,5.82,16
139,Paracuru,BR,1584908968,-3.41,-39.03,66,86.0,8.05,20
140,Shumskiy,RU,1584908968,54.83,99.13,70,35.65,6.62,100
141,Longyearbyen,SJ,1584908968,78.22,15.64,79,26.6,23.04,90
142,Ingham,US,1584908968,42.6,-84.38,44,41.0,10.29,90
143,Acaraú,BR,1584908957,-2.89,-40.12,83,77.41,4.47,20
144,Constantine,DZ,1584908676,36.37,6.61,93,48.2,1.12,40
145,Clyde River,CA,1584908968,70.47,-68.59,70,-0.4,3.36,1
146,Preston,GB,1584908968,53.77,-2.72,75,45.0,12.75,0
147,Kruisfontein,ZA,1584908968,-34.0,24.73,87,65.89,6.98,100
148,Qaanaaq,GL,1584908968,77.48,-69.36,76,-9.35,3.02,95
149,Ancud,CL,1584908969,-41.87,-73.82,76,57.2,12.75,90
150,Traian,RO,1584908969,46.63,27.03,93,32.0,14.99,90
151,Cedar City,US,1584908740,37.68,-113.06,32,53.6,10.29,40
152,Mount Isa,AU,1584908969,-20.73,139.5,60,69.8,12.8,0
153,Talnakh,RU,1584908969,69.49,88.4,75,-18.4,8.95,4
154,Todos Santos,MX,1584908969,23.45,-110.22,39,81.0,16.11,5
155,Olbia,IT,1584908969,40.92,9.49,86,48.79,3.78,40
156,Khani,GE,1584908969,41.96,42.96,93,42.8,4.7,40
157,Saint-Philippe,RE,1584908969,-21.36,55.77,74,78.8,14.99,1
158,Mahajanga,MG,1584908970,-15.72,46.32,78,78.8,8.05,20
159,Jumla,NP,1584908970,29.27,82.18,83,31.51,3.69,23
160,Polunochnoye,RU,1584908970,60.87,60.42,84,14.41,5.3,69
161,Ketchikan,US,1584908970,55.34,-131.65,100,37.4,12.75,90
162,Jardim,BR,1584908970,-21.48,-56.14,57,86.23,5.91,11
163,San Jose,US,1584908715,37.34,-121.89,45,70.0,4.7,75
164,Cidreira,BR,1584908970,-30.18,-50.21,75,74.71,17.52,13
165,Kabelvåg,NO,1584908970,68.21,14.48,69,41.0,11.41,40
166,Killybegs,IE,1584908970,54.63,-8.45,70,46.4,11.41,100
167,Shimoga,IN,1584908970,13.92,75.57,94,65.71,2.06,0
168,São Miguel do Araguaia,BR,1584908970,-13.28,-50.16,91,78.31,3.53,100
169,Rawson,AR,1584908970,-43.3,-65.1,52,69.85,20.02,0
170,Verkhnyaya Inta,RU,1584908970,65.98,60.31,95,21.07,13.38,100
171,Torbay,CA,1584908971,47.67,-52.73,62,24.01,17.22,75
172,Harper,LR,1584908971,4.38,-7.72,93,78.67,3.83,38
173,Ust-Tsilma,RU,1584908971,65.44,52.15,93,20.17,6.89,86
174,Baykit,RU,1584908971,61.67,96.37,89,29.17,11.72,91
175,Los Llanos de Aridane,ES,1584908965,28.66,-17.92,68,64.4,4.7,20
176,Krasnyy Yar,RU,1584908971,46.53,48.35,80,39.2,6.71,54
177,Badin,PK,1584908966,24.66,68.84,63,74.89,6.06,100
178,Ilulissat,GL,1584908971,69.22,-51.1,46,8.6,3.36,0
179,Ulcinj,ME,1584908971,41.93,19.22,40,57.2,18.34,75
180,Kuril'sk,RU,1584908971,45.23,147.88,70,32.95,4.45,100
181,Morón,AR,1584908971,-34.65,-58.62,42,88.0,9.17,11
182,Sambava,MG,1584908971,-14.27,50.17,95,70.21,3.0,6
183,Puerto Ayora,EC,1584908972,-0.74,-90.35,70,84.2,9.17,20
184,Aripuanã,BR,1584908972,-9.17,-60.63,93,81.37,2.66,5
185,Kosonsoy,UZ,1584908972,41.26,71.55,50,55.4,2.24,100
186,Leningradskiy,RU,1584908972,69.38,178.42,80,7.21,11.74,100
187,Bangassou,CF,1584908972,4.74,22.82,89,70.75,3.2,71
188,Kenai,US,1584908972,60.55,-151.26,86,33.8,7.09,1
189,Shemursha,RU,1584908972,54.89,47.52,53,24.49,16.71,92
190,Talara,PE,1584908707,-4.58,-81.27,82,77.23,14.38,0
191,Bambous Virieux,MU,1584908972,-20.34,57.76,94,77.0,8.05,75
192,Esil,KZ,1584908972,51.96,66.4,95,15.67,6.73,5
193,Hithadhoo,MV,1584908972,-0.6,73.08,63,84.07,3.65,0
194,Guerrero Negro,MX,1584908763,27.98,-114.06,46,68.23,14.05,93
195,Dentsville,US,1584908972,34.06,-80.96,62,59.0,13.87,90
196,Naze,JP,1584908972,28.37,129.48,77,69.8,11.41,75
197,Nova Odesa,UA,1584908972,47.31,31.79,84,35.11,16.35,64
198,Korla,CN,1584908973,41.76,86.15,47,42.49,5.97,100
199,Pisco,PE,1584908973,-13.7,-76.22,30,79.0,19.46,1
200,Mehamn,NO,1584908973,71.04,27.85,70,33.13,29.55,100
201,Hearst,CA,1584908973,49.68,-83.67,85,28.99,10.83,62
202,Āsosa,ET,1584908973,10.07,34.53,15,75.25,5.88,0
203,Kvitok,RU,1584908973,56.07,98.48,75,33.13,11.14,99
204,Mozarlândia,BR,1584908973,-14.74,-50.57,83,80.83,4.16,30
205,Broken Hill,AU,1584908973,-31.95,141.43,47,57.2,9.17,15
206,Opuwo,NA,1584908973,-18.06,13.84,59,72.91,4.74,6
207,Coyhaique,CL,1584908973,-45.58,-72.07,87,59.0,4.7,90
208,Ukiah,US,1584908973,39.15,-123.21,39,66.99,3.36,1
209,Togur,RU,1584908973,58.36,82.83,91,4.15,12.21,100
210,Malakal,SS,1584908973,9.53,31.66,10,83.71,6.58,0
211,Saskylakh,RU,1584908973,71.92,114.08,98,-13.85,8.7,99
212,Quatre Cocos,MU,1584908974,-20.21,57.76,94,77.0,8.05,75
213,Lodja,CD,1584908974,-3.48,23.43,99,68.59,1.32,99
214,Vardø,NO,1584908774,70.37,31.11,73,32.0,29.97,40
215,Igurusi,TZ,1584908974,-8.85,33.85,91,55.81,4.12,100
216,Havøysund,NO,1584908974,71.0,24.66,86,33.8,54.13,90
217,Mandalgovi,MN,1584908974,45.76,106.27,28,37.81,10.25,0
218,Sisimiut,GL,1584908974,66.94,-53.67,87,3.61,2.84,11
219,Shangrao,CN,1584908974,28.45,117.97,91,62.11,4.68,84
220,Lillooet,CA,1584908975,50.69,-121.94,49,48.2,2.24,1
221,Grand Gaube,MU,1584908975,-20.01,57.66,94,77.0,8.05,75
222,George Town,MY,1584908711,5.41,100.34,78,80.6,2.71,20
223,Nchelenge,ZM,1584908975,-9.35,28.73,86,70.03,3.87,79
224,Vista Hermosa,MX,1584908975,19.52,-99.22,21,78.8,12.75,5
225,Beckley,US,1584908975,37.78,-81.19,44,59.0,13.73,1
226,Evensk,RU,1584908975,61.95,159.23,94,22.69,4.99,98
227,Tigil',RU,1584908975,57.8,158.67,92,20.71,1.03,29
228,Ola,RU,1584908975,59.58,151.28,81,24.67,24.85,100
229,Pionki,PL,1584908802,51.48,21.45,45,34.0,11.56,26
230,Mizdah,LY,1584908975,31.45,12.98,66,57.43,17.31,0
231,La Santisima Trinidad,BO,1584908976,-14.83,-64.9,64,85.87,2.66,23
232,Tairua,NZ,1584908976,-37.02,175.85,97,69.01,15.82,100
233,Fortuna,US,1584908869,40.6,-124.16,82,64.0,13.87,1
234,Dakar,SN,1584908927,14.69,-17.44,83,71.6,16.11,0
235,Kontagora,NG,1584908976,10.4,5.47,31,88.21,4.83,100
236,Kimbe,PG,1584908976,-5.55,150.14,91,76.33,2.01,99
237,Umluj,SA,1584908976,25.02,37.27,40,62.29,7.78,0
238,Palmer,US,1584908782,42.16,-72.33,21,44.01,4.7,20
239,Tasiilaq,GL,1584908976,65.61,-37.64,85,21.2,4.7,100
240,Gorom-Gorom,BF,1584908976,14.44,-0.24,16,89.47,8.52,0
241,Coos Bay,US,1584908900,43.37,-124.22,93,64.99,9.17,90
242,Lima,PE,1584908273,-12.04,-77.03,61,80.6,11.41,0
243,San Vicente,AR,1584908977,-26.62,-54.13,42,82.27,4.16,0
244,Priyutovo,RU,1584908977,53.9,53.93,85,18.55,15.9,100
245,Haverfordwest,GB,1584908745,51.8,-4.97,61,48.0,6.93,0
246,Aklavik,CA,1584908977,68.22,-135.01,65,6.8,14.99,90
247,Kindu,CD,1584908977,-2.95,25.95,98,69.31,1.74,100
248,Mahon,ES,1584908977,39.89,4.27,93,55.4,5.82,75
249,Masakin,TN,1584908977,35.73,10.58,82,60.01,9.17,20
250,Nizhniy Kuranakh,RU,1584908977,58.84,125.49,95,9.01,3.4,78
251,High Level,CA,1584908977,58.52,-117.14,73,32.0,6.93,40
252,Beyneu,KZ,1584908977,45.32,55.2,61,41.95,11.95,58
253,Port Blair,IN,1584908706,11.67,92.75,68,81.19,9.35,1
254,Dodge City,US,1584908977,37.75,-100.02,76,64.0,3.36,90
255,Inongo,CD,1584908977,-1.95,18.27,98,71.83,2.77,92
256,Linhares,BR,1584908977,-19.39,-40.07,83,75.25,9.64,86
257,Kpandae,GH,1584908977,8.47,-0.01,58,80.47,13.71,100
258,Taltal,CL,1584908977,-25.4,-70.48,64,68.59,5.53,0
259,Allāpalli,IN,1584908978,19.42,80.07,25,76.51,2.53,0
260,Zhuanghe,CN,1584908978,39.7,122.99,71,39.0,12.01,0
261,Goderich,CA,1584908978,43.75,-81.72,73,41.0,3.0,86
262,Tombouctou,ML,1584908978,20.0,-3.0,11,75.97,8.1,67
263,Osa,RU,1584908978,57.28,55.46,89,13.87,3.27,0
264,Willowmore,ZA,1584908978,-33.29,23.49,84,60.49,4.38,33
265,Sawtell,AU,1584908978,-30.38,153.1,88,71.6,17.22,90
266,Riyadh,SA,1584908975,24.69,46.72,23,60.8,6.93,0
267,Jiazi,CN,1584908978,22.88,116.07,88,70.93,2.89,0
268,Dunedin,NZ,1584908978,-45.87,170.5,80,52.0,10.0,100
269,Santa Maria,BR,1584908978,-29.68,-53.81,43,87.8,9.17,20
270,Grand-Santi,GF,1584908979,4.25,-54.38,56,85.69,4.88,68
271,Luganville,VU,1584908979,-15.53,167.17,83,80.6,6.93,75
272,Marawi,PH,1584908979,8.0,124.29,88,75.0,5.01,5
273,Saint-Augustin,CA,1584908979,51.23,-58.65,77,16.93,14.12,36
274,Half Moon Bay,US,1584908979,37.46,-122.43,55,70.0,3.36,90
275,Melioratorov,RU,1584908979,57.21,65.61,72,17.6,6.71,100
276,Lavrentiya,RU,1584908979,65.58,-171.0,95,28.99,6.38,99
277,Harsūd,IN,1584908979,22.1,76.73,23,78.13,5.01,0
278,Teguise,ES,1584908979,29.06,-13.56,77,62.6,6.93,20
279,Katsuura,JP,1584908979,35.13,140.3,76,55.0,13.87,75
280,Salinópolis,BR,1584908979,-0.61,-47.36,77,81.91,8.86,2
281,Chapais,CA,1584908757,49.78,-74.85,48,17.6,9.17,1
282,Songkhla,TH,1584908980,6.83,100.67,94,75.2,0.92,20
283,Ostrovnoy,RU,1584908980,68.05,39.51,83,24.49,31.14,100
284,Zolochiv,UA,1584908980,49.81,24.89,92,28.4,8.95,75
285,Marsh Harbour,BS,1584908980,26.54,-77.06,71,74.35,10.11,0
286,Hofn,IS,1584908980,64.25,-15.21,82,45.19,43.91,100
287,Vila Velha,BR,1584908967,-20.33,-40.29,74,78.8,10.29,75
288,Kibala,TD,1584908980,9.11,18.35,31,91.4,2.98,15
289,San Joaquin,VE,1584908980,10.26,-67.79,82,75.79,6.71,75
290,Mikhaylovka,RU,1584908980,50.06,43.24,93,34.0,1.01,100
291,Nuevo Laredo,MX,1584908834,27.48,-99.52,88,64.4,4.7,90
292,Goryachegorsk,RU,1584908980,55.41,88.92,72,20.53,18.39,90
293,Alibag,IN,1584908980,18.64,72.88,83,80.6,6.93,0
294,Hualmay,PE,1584908981,-11.1,-77.61,44,81.19,10.78,44
295,Bulgan,MN,1584908981,48.81,103.53,33,34.03,3.94,0
296,Berlevåg,NO,1584908981,70.86,29.09,66,37.63,37.8,98
297,Ambunti,PG,1584908981,-4.24,142.84,99,74.17,0.72,100
298,Pochutla,MX,1584908981,15.74,-96.47,59,89.6,11.41,20
299,Panórama,GR,1584908981,40.59,23.03,87,59.0,10.29,75
300,Lashio,MM,1584908981,22.93,97.75,78,55.27,1.07,99
301,Ngunguru,NZ,1584908981,-35.62,174.5,92,68.0,4.0,100
302,Fairbanks,US,1584908696,64.84,-147.72,61,19.99,20.8,20
303,Panzhihua,CN,1584908981,26.59,101.71,61,48.79,0.65,0
304,Monteiro,BR,1584908745,-7.89,-37.12,79,76.15,6.38,74
305,Teya,RU,1584908981,60.38,92.63,90,22.15,15.26,100
306,Itacoatiara,BR,1584908981,-3.14,-58.44,66,89.6,5.82,7
307,Sotouboua,TG,1584908981,8.57,0.98,76,75.79,3.85,100
308,Kamakwie,SL,1584908981,9.5,-12.23,43,82.81,7.87,8
309,Faanui,PF,1584908981,-16.48,-151.75,68,82.63,2.01,0
310,Tazmalt,DZ,1584908982,36.39,4.4,87,57.2,3.36,75
311,Lagoa,PT,1584908982,39.05,-27.98,65,55.99,5.46,44
312,Samarai,PG,1584908982,-10.62,150.67,83,79.93,2.04,87
313,Sur,OM,1584908982,22.57,59.53,80,75.61,15.52,92
314,Okhotsk,RU,1584908982,59.38,143.3,81,9.73,9.24,97
315,Yarim,YE,1584908859,14.3,44.38,67,59.77,3.04,0
316,Dingle,PH,1584908983,11.0,122.67,90,73.63,8.75,83
317,São Miguel,BR,1584908983,-5.47,-35.37,62,86.0,12.75,20
318,Fereydūnkenār,IR,1584908983,36.69,52.52,93,48.2,6.93,90
319,Bac Lieu,VN,1584908983,9.29,105.72,93,74.35,4.14,0
320,São Paulo de Olivença,BR,1584908983,-3.38,-68.87,93,81.55,0.78,100
321,Walvis Bay,NA,1584908983,-22.96,14.51,77,64.4,3.36,0
322,Grand Bend,CA,1584908983,43.32,-81.75,47,39.99,16.11,75
323,Keokuk,US,1584908983,40.4,-91.38,100,35.6,12.75,75
324,Saldanha,ZA,1584908983,-33.01,17.94,77,64.4,8.05,31
325,Bambanglipuro,ID,1584908984,-7.95,110.28,94,75.25,2.55,100
326,Rubtsovsk,RU,1584908984,51.5,81.25,96,24.31,5.79,79
327,Onega,RU,1584908984,63.91,38.14,72,26.11,15.48,0
328,Noumea,NC,1584908935,-22.28,166.46,88,66.2,17.31,20
329,Cabedelo,BR,1584908985,-6.98,-34.83,74,84.2,8.05,20
330,Shingū,JP,1584908985,33.73,135.98,80,56.53,4.72,87
331,Tyret’ Pervaya,RU,1584908985,53.67,102.31,95,28.99,3.71,100
332,Vestmannaeyjar,IS,1584908985,63.44,-20.27,86,39.2,31.09,75
333,Salym,RU,1584908985,60.06,71.48,94,14.23,7.63,99
334,Sterling,US,1584908985,39.01,-77.43,39,53.01,9.17,1
335,Iqaluit,CA,1584908929,63.75,-68.51,78,8.6,8.05,90
336,Marsá Maţrūḩ,EG,1584908706,31.35,27.25,72,60.8,10.29,40
337,Myitkyina,MM,1584908985,25.38,97.4,72,62.83,3.62,100
338,Hay River,CA,1584908785,60.82,-115.8,79,26.6,5.82,40
339,Constitución,CL,1584908986,-35.33,-72.42,64,61.39,9.84,0
340,Ahipara,NZ,1584908986,-35.17,173.17,86,67.69,17.11,100
341,Waipawa,NZ,1584908986,-41.41,175.52,72,62.6,13.87,100
342,Enshi,CN,1584908986,30.3,109.48,88,54.37,1.25,100
343,Baruun-Urt,MN,1584908986,46.68,113.28,48,31.87,5.82,0
344,Eureka,US,1584908986,40.8,-124.16,76,61.0,4.7,1
345,Boissevain,CA,1584908986,49.23,-100.06,69,35.6,10.29,40
346,Biloela,AU,1584908986,-24.42,150.5,82,69.49,3.98,0
347,Tyulyachi,RU,1584908986,55.89,50.24,62,21.2,8.95,0
348,Mahébourg,MU,1584908986,-20.41,57.7,94,77.0,8.05,75
349,Singaparna,ID,1584908987,-7.35,108.11,89,70.03,3.11,100
350,Stepnyak,KZ,1584908987,52.83,70.78,95,21.61,7.45,98
351,Doha,QA,1584908963,25.29,51.53,52,68.0,11.41,0
352,Suslovo,RU,1584908987,56.22,88.12,80,21.43,18.52,100
353,Santa Cruz de la Sierra,BO,1584908757,-17.8,-63.17,52,91.4,5.82,40
354,Gijón,ES,1584908693,43.54,-5.66,93,55.0,4.7,75
355,Te Anau,NZ,1584908987,-45.42,167.72,87,44.65,6.06,100
356,Araguaína,BR,1584908740,-7.19,-48.21,76,80.47,3.15,100
357,Tiarei,PF,1584908987,-17.53,-149.33,66,86.0,4.7,40
358,Phalodi,IN,1584908987,27.13,72.37,28,81.55,10.2,100
359,Hanmer Springs,NZ,1584908987,-42.52,172.82,66,52.03,2.59,100
360,Kungurtug,RU,1584908987,50.6,97.52,70,23.23,2.15,95
361,Kutum,SD,1584908987,14.2,24.67,16,67.87,6.87,100
362,Talcahuano,CL,1584908987,-36.72,-73.12,68,66.2,12.75,0
363,Río Gallegos,AR,1584908865,-51.62,-69.22,59,60.8,8.05,100
364,Lábrea,BR,1584908987,-7.26,-64.8,96,76.87,4.32,100
365,Burnie,AU,1584908988,-41.07,145.92,79,48.99,10.0,0
366,Wukari,NG,1584908988,7.85,9.78,62,82.81,11.54,69
367,Moosomin,CA,1584908988,50.13,-101.67,90,27.73,7.52,0
368,Lorengau,PG,1584908988,-2.02,147.27,70,84.25,5.91,96
369,Petropavlovsk-Kamchatskiy,RU,1584908988,53.05,158.65,82,32.0,8.95,40
370,Fontem,CM,1584908988,5.47,9.88,95,66.25,1.77,100
371,Asekeyevo,RU,1584908988,53.57,52.8,93,22.15,19.08,100
